UID          PID    PPID  C STIME TTY          TIME CMD
root          85       2  0 16:07 ?        00:00:00 [edac-poller]
root          86       2  0 16:07 ?        00:00:00 [devfreq_wq]
root          87       2  0 16:07 ?        00:00:00 [watchdogd]
root          90       2  0 16:07 ?        00:00:00 [kswapd0]
root          91       2  0 16:07 ?        00:00:00 [ecryptfs-kthrea]
root          93       2  0 16:07 ?        00:00:00 [kthrotld]
root          94       2  0 16:07 ?        00:00:00 [irq/24-pciehp]
root          95       2  0 16:07 ?        00:00:00 [irq/25-pciehp]
root          96       2  0 16:07 ?        00:00:00 [irq/26-pciehp]
root          97       2  0 16:07 ?        00:00:00 [irq/27-pciehp]
root          98       2  0 16:07 ?        00:00:00 [irq/28-pciehp]
root          99       2  0 16:07 ?        00:00:00 [irq/29-pciehp]
root         100       2  0 16:07 ?        00:00:00 [irq/30-pciehp]
root         101       2  0 16:07 ?        00:00:00 [irq/31-pciehp]
root         102       2  0 16:07 ?        00:00:00 [irq/32-pciehp]
root         103       2  0 16:07 ?        00:00:00 [irq/33-pciehp]
root         104       2  0 16:07 ?        00:00:00 [irq/34-pciehp]
root         105       2  0 16:07 ?        00:00:00 [irq/35-pciehp]
root         106       2  0 16:07 ?        00:00:00 [irq/36-pciehp]
root         107       2  0 16:07 ?        00:00:00 [irq/37-pciehp]
root         108       2  0 16:07 ?        00:00:00 [irq/38-pciehp]
root         109       2  0 16:07 ?        00:00:00 [irq/39-pciehp]
root         110       2  0 16:07 ?        00:00:00 [irq/40-pciehp]
root         111       2  0 16:07 ?        00:00:00 [irq/41-pciehp]
root         112       2  0 16:07 ?        00:00:00 [irq/42-pciehp]
root         113       2  0 16:07 ?        00:00:00 [irq/43-pciehp]
root         114       2  0 16:07 ?        00:00:00 [irq/44-pciehp]
root         115       2  0 16:07 ?        00:00:00 [irq/45-pciehp]
root         116       2  0 16:07 ?        00:00:00 [irq/46-pciehp]
root         117       2  0 16:07 ?        00:00:00 [irq/47-pciehp]
root         118       2  0 16:07 ?        00:00:00 [irq/48-pciehp]
root         119       2  0 16:07 ?        00:00:00 [irq/49-pciehp]
root         120       2  0 16:07 ?        00:00:00 [irq/50-pciehp]
root         121       2  0 16:07 ?        00:00:00 [irq/51-pciehp]
root         122       2  0 16:07 ?        00:00:00 [irq/52-pciehp]
root         123       2  0 16:07 ?        00:00:00 [irq/53-pciehp]
root         124       2  0 16:07 ?        00:00:00 [irq/54-pciehp]
root         125       2  0 16:07 ?        00:00:00 [irq/55-pciehp]
root         126       2  0 16:07 ?        00:00:00 [acpi_thermal_pm]
root         127       2  0 16:07 ?        00:00:00 [scsi_eh_0]
root         128       2  0 16:07 ?        00:00:00 [scsi_tmf_0]
root         129       2  0 16:07 ?        00:00:00 [scsi_eh_1]
root         130       2  0 16:07 ?        00:00:00 [scsi_tmf_1]
root         132       2  0 16:07 ?        00:00:00 [vfio-irqfd-clea]
root         133       2  0 16:07 ?        00:00:00 [ipv6_addrconf]
root         143       2  0 16:07 ?        00:00:00 [kstrp]
root         146       2  0 16:07 ?        00:00:00 [kworker/u257:0-hci0]
root         159       2  0 16:07 ?        00:00:00 [charger_manager]
root         204       2  0 16:07 ?        00:00:00 [mpt_poll_0]
root         205       2  0 16:07 ?        00:00:00 [mpt/0]
root         206       2  0 16:07 ?        00:00:00 [cryptd]
root         207       2  0 16:07 ?        00:00:00 [scsi_eh_2]
root         218       2  0 16:07 ?        00:00:00 [scsi_tmf_2]
root         221       2  0 16:07 ?        00:00:00 [scsi_eh_3]
root         223       2  0 16:07 ?        00:00:00 [scsi_tmf_3]
root         224       2  0 16:07 ?        00:00:00 [irq/16-vmwgfx]
root         226       2  0 16:07 ?        00:00:00 [scsi_eh_4]
root         237       2  0 16:07 ?        00:00:00 [scsi_tmf_4]
root         239       2  0 16:07 ?        00:00:00 [ttm_swap]
